Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,Job_ID,Scope_Category
"Koch (m/w/d), Essen",CLASSIFICATION_FAILED,,,,,Nordrhein-Westfalen,KinderHut® GmbH,,2026-06-12,Full-time,,"• Eine neue 3-gruppige Kindertageseinrichtung mit Kindern von 6 Monaten bis 3 Jahren
• Du schreibst den kindgerechten Speiseplan, achtest auf das Budget, übernimmst die Bestellung der Lebensmittel und bereitest die Speisen zu
• Du achtest auf eine frische, abwechslungsreiche und gesunde Küche sowie auf geltende Hygiene-Vorschriften","• Erfolgreich abgeschlossene Ausbildung zur Köchin / zum Koch
• Ca. 2–3 Jahre Berufserfahrung
• Kenntnisse in geltenden Hygiene-Vorschriften
• Bereitschaft mit anzupacken und du hast Bock auf Kita","• Zertifiziertes Qualitätsmanagement: hohe Standards und klare Strukturen erleichtern dir das Onboarding und den Arbeitsalltag
• Vielseitige Fortbildungsangebote über unsere digitale Lernplattform
• Zur Entlastung der Köchin/ des Kochs gibt es bei uns hauswirtschaftlichen Support
• Standortübergreifendes Vertretungsmodell der Köche oder je nach Standortgröße durch die Hauswirtschaftskraft
• Ein gehobenes, ansprechendes Raum- und Ausstattungskonzept
• Anerkannter Träger der Jugendhilfe und trotzdem Familienunternehmen
• Familienfreundliche Arbeitszeiten
• 30 Tage Urlaub (flexibel, auch außerhalb der Ferien), zzgl. 2 Regenerationstage
• Betriebliche Altersvorsorge mit überdurchschnittlicher Arbeitgeberförderung
• Steigende Jahressonderzahlung nach Betriebszugehörigkeit
• Fahrtkostenzuschuss, Bike-Leasing und Kinderbetreuungskostenzuschuss möglich
• Betriebliches Gesundheitsmanagement - Urban Sports Club
• Employee Assistance Program - EAP
• Digitale Lernplattform Kinderhut Campus mit innovativen Fortbildungskonzepten",On-site,https://www.stepstone.de/stellenangebote--Koch-m-w-d-Essen-KinderHut®-GmbH--14144258-inline.html,job-97,Hospitality/Ambiguous
"Koch/Köchin (m/w/d), Sprockhövel",CLASSIFICATION_FAILED,,,,,Nordrhein-Westfalen,Bäckerei Borggräfe GmbH Zwei,,2026-06-10,Full-time,,"Als Koch und Köchin (m/w/d) verrichten Sie alle Arbeiten, die zur Herstellung von Speisen gehören. Wenn Sie einen Speiseplan aufgestellt haben, kaufen Sie Lebensmittel und Zutaten ein, bereiten Sie vor und lagern Sie gegebenenfalls ein. Sie organisieren die Arbeitsabläufe in der Küche und sorgen dafür, dass die Speisen rechtzeitig und in der richtigen Reihenfolge fertiggestellt werden. Das spannende an der Tätigkeit für uns ist, dass Sie am Aufbau bzw. der Erweiterung eines noch eher kleinen Bereiches unserer Bäckerei beteiligt sind und daher Innovation und Eigeninitiative nicht nur gefördert, sondern auch gefordert wird. Hier haben Sie die Möglichkeit, unserem Unternehmen von Anfang an Ihren Stempel aufzudrücken und sich selbst zu verwirklichen. Aus diesem Grund gehört zu Ihren Aufgaben auch, neue Kreationen zu entwickeln und die Preise zu kalkulieren.","• Organisatorische Fähigkeiten, Teamfähigkeit (z.B. beim Koordinieren von Arbeitsabläufen in der Küche, beim Einteilen und Anleiten von Personal) • Sorgfalt und Verantwortungsbewusstsein (z.B. beim hygienischen Arbeiten in der Küche, beim Einhalten lebensmittelrechtlicher Vorschriften) • Geschicklichkeit und eine gute körperliche Konstitution (z.B. beim Zerlegen und Filetieren von Fleisch bzw. Fisch, z.B. beim Arbeiten im Stehen) • Kreativität (z.B. beim Zusammenstellen von Speisen, beim Anrichten) • Flexibilität und Eigeninitiative","• Krisensicherer Arbeitsplatz bei einem traditionsreichen Familienunternehmen • Nette Kolleginnen und Kollegen, die sich über Ihre Unterstützung freuen • Rabattierung auf das gesamte Sortiment • Tarifliche Vergütung des Bäckereihandwerks (inkl. Urlaubs- und Weihnachtsgeld; Nacht-, Spät- und Sonntagszuschläge) sowie attraktive Zusatzleistungen (z.B. Jobbike und Guthaben für Einkäufe)",On-site,https://www.stepstone.de/stellenangebote--Koch-Koechin-m-w-d-Sprockhoevel-Baeckerei-Borggraefe-GmbH-Zwei--14132190-inline.html,job-98,Hospitality/Ambiguous
"Koch (m/w/d) für das Kaiserbad, Leipzig",CLASSIFICATION_FAILED,,,,,Sachsen,dreiturmspringer GmbH,,2026-06-15,Full-time,,"• Vor- und Zubereiten von Speisen für das tägliche Geschäft
• Warenannahme und -pflege
• Kontrolle und Einhaltung der Hygienestandards des Hauses
• Schichtleitung im à la carte Geschäft
• Einarbeiten und Anleiten neuer Mitarbeitender","Qualifikation Eine Ausbildung ist erforderlich, Erfahrung sehr hilfreich. Kurzum: Wenn du dein Handwerkszeug in einigen Jahren Berufserfahrung und ohne klassische Ausbildung erlernt hast, kannst du dich sehr gerne auch bewerben!","• firmenweite Mitarbeitendenrabatte
• individuelle Weiterbildungen
• nachhaltige Mentoringprogramme
• planbare Arbeitszeiten
• monatliche digitale Dienstpläne
• faire Trinkgeldbeteiligung
• betriebliche Altersvorsorge
• Fonds für juristische Erstberatung
• Corporate Benefits",On-site,https://www.stepstone.de/stellenangebote--Koch-m-w-d-fuer-das-Kaiserbad-Leipzig-dreiturmspringer-GmbH--13965791-inline.html,job-99,Hospitality/Ambiguous
"Koch (m/w/d), INNSiDE Leipzig, Leipzig",CLASSIFICATION_FAILED,,,,,Sachsen,INNSIDE by Meliá Leipzig,,2026-06-14,Full-time,,"• Vorbereiten unserer kulinarischen Angebote für den á la carte - sowie auch Bankettbereich und ggf. dem Mittagsgeschäft
• Umsetzung neuer Trends
• Betreuung unserer Gäste auf kulinarische Weise
• Mitverantwortlich für die Einhaltung der HACCP-Standards
• Gehaltsspanne zwischen 31.980,-€ bis 39.648,-€ Jahresbruttogehalt (je nach Qualifikation)","• abgeschlossene Ausbildung zum Koch (m/w/d) oder ähnlichen Beruf
• Erste Berufserfahrung von Vorteil
• Leidenschaft für gutes Essen
• Kreativität
• Flexibilität und Teamgeist
• Einsatzbereitschaft und Engagement
• Gastgebermentalität","• Du bekommst 30 Urlaubstage im Jahr, damit du dich ausreichend erholen kannst.
• Wir übernehmen die Kosten für dein Deutschlandticket, damit du mobil bleibst.
• Du erhältst vergünstigte Raten in allen Hotels und Resorts von Meliá Hotels International weltweit, auch für deine Familie und Freunde.
• Du profitierst von 30 % Rabatt auf Speisen und Getränke in allen Meliá Hotels weltweit.
• Du arbeitest in einem unterstützenden und respektvollen Team, das gemeinsam mit dir wachsen möchte.
• Du erhältst eine strukturierte Einarbeitung und Unterstützung, um dir den Einstieg zu erleichtern.
• Wir bieten dir interne und externe Schulungen sowie interne Karrierechancen.
• Du hast die Möglichkeit, dich beruflich und persönlich weiterzuentwickeln und eigene Ideen einzubringen.
• Es gibt kostenlose Heiß- und Kaltgetränke sowie täglich frische, kostenlose Mahlzeiten in unserer Mitarbeitendenkantine.
• Wir stellen dir kostenfreie Dienstkleidung und kümmern uns um deren Reinigung – auch für deine private Businesskleidung.
• Regelmäßige Teamevents und Partys sorgen für eine gute Stimmung.
• Wir organisieren regelmäßig Gesundheitstage und bieten dir Rabatte auf Fitnessstudio-Mitgliedschaften.
• Du profitierst von attraktiven Mitarbeiterrabatten auf Kleidung, Mietwagen und vieles mehr bei über 600 Marken.
• Über unser „Inspiring Friends“-Programm erhältst du eine Prämie von 1.000 €, wenn du neue Mitarbeitende wirbst.
• Dich erwartet ein abwechslungsreicher und spannender",On-site,https://www.stepstone.de/stellenangebote--Koch-m-w-d-INNSiDE-Leipzig-Leipzig-INNSIDE-by-Meliá-Leipzig--14151883-inline.html,job-100,Hospitality/Ambiguous
Apprentice Cook 2026,Cooks (5120),5120,512,51,Cooks,Sachsen-Anhalt,Mibe GmbH Arzneimittel,Restaurants & Food Service,2026-06-14,Full-time,,"Apprentice cook position at a company canteen serving over 700 employees with breakfast and lunch daily. Trainees participate in preparing hot and cold dishes, planning menus, procuring food, and implementing hygiene regulations.",Secondary school certificate (Realschulabschluss); passion for cooking; interest in food and nutrition; creativity; careful and precise work style; manual dexterity; teamwork skills.,3-year apprenticeship with option to shorten for excellent performance; vocational school in Dessau-Roßlau; comprehensive training; attractive apprenticeship pay and social benefits.,On-site,https://www.stepstone.de/stellenangebote--Ausbildung-Koch-m-w-d-2026-Brehna-06796-Sandersdorf-Brehna-Mibe-GmbH-Arzneimittel--14085622-inline.html,job-101,HOSPITALITY
Cook for Care Home Residents,Cooks (5120),5120,512,51,Cooks,Sachsen,Seniorenpflege und Wohnen Delitzsch GmbH,Restaurants & Food Service,2026-06-14,Part-time,,"Cook position at a senior care home responsible for ordering ingredients, receiving and storing goods, preparing hot and cold meals, serving residents, and maintaining HACCP hygiene standards.","Completed vocational training as a cook; valid health certificate; good German language skills; knowledge of hygiene guidelines and HACCP; reliability, teamwork, professional and independent work style, quality awareness.",28 days annual leave for new hires; occupational health budget; company pension; holiday and Christmas bonus; anniversary bonuses; 100% public holiday surcharge with time off in lieu; 30–35 hours per week.,On-site,https://www.stepstone.de/stellenangebote--Koch-Koechin-fuer-die-Speisenversorgung-von-Pflegeheimbewohnern-Delitzsch-Seniorenpflege-und-Wohnen-Delitzsch-GmbH--14086808-inline.html,job-102,HOSPITALITY
"Physiotherapeut/in (m/w/d) in Schkeuditz, Schkeuditz",Out of Scope,,,,,Sachsen,Praxis für Physiotherapie Barbara Koch,,2026-06-14,Full-time,,"• Selbstständige und einfühlsame Behandlung unserer Patient/innen. • Erstellung individueller Therapiepläne und Beratung. • Enger Kontakt zu Kolleg/innen und Ärzt/innen, um die beste Behandlung zu gewährleisten.","Was du mitbringst:• Abgeschlossene Ausbildung als Physiotherapeut/in bzw. Masseur/medizinische/r Bademeister/in • Du liebst es, mit Menschen zu arbeiten und hast eine positive Ausstrahlung. • Führerschein und eigenes Auto (für Hausbesuche und flexible Einsatzmöglichkeiten). • Freude daran, in einem engagierten Team zu arbeiten und dich kontinuierlich weiterzuentwickeln.Anforderungen an den Bewerber: Grundkenntnisse: Manuelle Therapie, Rehabilitation Erweiterte Kenntnisse: Physiotherapie (Krankengymnastik), Patientenbetreuung","- Lohn: Physiotherapeuten 18€ - Lohn Masseur/medizinsicher Bademeister/in: 16€ • Sonderleistungen wie: -Fahrkostenerstattung -Übernahme von Weiterbildungskosten -Kindergartenplatz-Zuschuss und vieles mehr! • Ein familiäres Team, das füreinander da ist. • Fortbildungen und Schulungen, um immer am Puls der Zeit zu bleiben.",On-site,https://www.stepstone.de/stellenangebote--Physiotherapeut-in-m-w-d-in-Schkeuditz-Schkeuditz-Praxis-fuer-Physiotherapie-Barbara-Koch--13963649-inline.html,job-103,Out of Scope
Cook,Cooks (5120),5120,512,51,Cooks,Sachsen,Seepark Auenhain,Hotels & Accommodation,2026-06-10,Part-time,,"Cook position at a lakeside holiday resort near Leipzig, covering à la carte, banquet, and terrace service in part-time, full-time, or mini-job arrangements.",Completed vocational training as a cook or comparable professional experience desirable; enjoyment working with food and people; readiness to work; adherence to hygiene regulations; friendliness and teamwork skills.,Modern working environment; family-friendly holiday resort setting near Leipzig; young and collegial team; flat hierarchies; independent working; long-term position; free provision of work clothing (details truncated).,On-site,https://www.stepstone.de/stellenangebote--Koch-m-w-d-gesucht-Minijob-Teil-oder-Vollzeit-Markkleeberg-Seepark-Auenhain--10945786-inline.html,job-104,HOSPITALITY
Cook,Cooks (5120),5120,512,51,Cooks,Sachsen,Hotel Kloster Nimbschen,Hotels & Accommodation,2026-06-06,Part-time,,"Cook position at Hotel Kloster Nimbschen with an opportunity to develop into deputy kitchen management, taking on greater responsibility in organisation, team leadership, and kitchen operations.",Completed vocational training as a cook; enthusiasm for premium-quality cooking; flexibility and ability to work independently and in a structured manner; high standards of cleanliness; enjoyment of teamwork and respectful conduct.,Familial atmosphere despite 70 employees; stable long-term team; supplementary private health insurance after probationary period; surcharges and bonuses; use of facilities (details truncated).,On-site,https://www.stepstone.de/stellenangebote--Koch-m-w-d-Grimma-Hotel-Kloster-Nimbschen--12671544-inline.html,job-105,HOSPITALITY
Automotive Mechatronics Technician / Mechanic,Other/Non-Hospitality (9999),7231,723,72,Motor Vehicle Mechanics and Repairers,Sachsen,Rainer Koch Kommunikation GmbH,Staffing Agencies & Other,2026-06-05,Part-time,,"Automotive mechatronics technician role focused on retrofitting vehicles with telematics systems, turning assistance, and blind-spot warning systems for customers across all vehicle brands.","Completed training as automotive mechatronics technician or mechanic; enthusiasm for vehicles; knowledge of vehicle electronics and technology; independent work style; high performance readiness, flexibility, and reliability; basic computer and internet skills.",Varied work across all vehicle brands; permanent contract; work clothing; fair pay; company vehicle; open team culture and flat hierarchies; employer subsidy for public transport job ticket; free drinks; additional payments; employee discounts.,On-site,https://www.stepstone.de/stellenangebote--Kfz-Mechatroniker-Kfz-Mechaniker-m-w-d-Leipzig-Rainer-Koch-Kommunikation-GmbH--12833086-inline.html,job-106,HOSPITALITY
Inside Sales Manager,Other/Non-Hospitality (9999),2433,243,24,Technical and Medical Sales Professionals (excluding ICT),Sachsen,EWERK GROUP SERVICES GmbH,Staffing Agencies & Other,2026-06-03,Full-time,,"Inside sales manager role serving as the primary contact for existing customers, managing leads, preparing offers, and collaborating with field sales and key account management teams.",Completed commercial training or equivalent qualification with relevant experience; initial experience in inside sales or customer-facing roles helpful; enjoyment of customer contact; clear communication; structured and reliable work style.,"Flexible working model including office, remote, home office, or EU workation; family-friendly flexible working hours; free drinks, fresh fruit, and modern workplace facilities (details truncated).",Remote,https://www.stepstone.de/stellenangebote--Inside-Sales-Manager-m-w-d-Leipzig-EWERK-GROUP-SERVICES-GmbH--13926436-inline.html,job-107,HOSPITALITY
Project Manager,Other/Non-Hospitality (9999),2421,242,24,Management and Organization Analysts,Sachsen,EWERK DIGITAL GmbH,Staffing Agencies & Other,2026-06-03,Full-time,,"Project manager responsible for end-to-end project delivery including planning, resource and budget management, coordination of internal and external stakeholders, and quality assurance across IT-related projects.","Degree or training in business, technology, or IT, or comparable qualification with experience; project management experience, preferably in complex or IT-related projects; knowledge of classical and/or agile methodologies such as Waterfall, Scrum, or Kanban.","Flexible working model including office, remote, home office, or EU workation; family-friendly flexible working hours; free drinks, fresh fruit, and modern workplace facilities (details truncated).",Remote,https://www.stepstone.de/stellenangebote--Projektmanager-m-w-d-Betriebswirt-in-Fachschule-Projektmanagement-Leipzig-EWERK-DIGITAL-GmbH--13926471-inline.html,job-108,HOSPITALITY
Accountant / Bookkeeper,Accounting Clerks (4311),4311,431,43,Accounting and Bookkeeping Clerks,Not specified,Ahrenshof GmbH,Staffing Agencies & Other,2026-06-03,Full-time,,"Bookkeeping role using DATEV and Sage software, covering payment processing, preparation of annual financial statements, personnel data administration, and coordination of tradespeople as needed.",Proficient knowledge of DATEV accounting software; skills in financial accounting and bookkeeping.,Not specified.,On-site,https://www.stepstone.de/stellenangebote--Buchhalter-m-w-d-Wiedemar-Ahrenshof-GmbH--13223662-inline.html,job-109,HOSPITALITY
Butcher Helper,Other/Non-Hospitality (9999),7511,751,75,"Butchers, Fishmongers and Related Food Preparers",Sachsen,Fleischer-Einkauf Leipzig AG,Staffing Agencies & Other,2026-06-02,Full-time,,"Butcher helper role involving the breakdown of slaughtered pig carcasses into individual cuts, cleaning and maintenance of machines, and adherence to hygiene regulations.","Completed training as butcher/boner or cook desirable; professional experience in butchery; physical stamina; basic knowledge of work preparation, boning, and food hygiene; extended knowledge of meat cutting.",Systemically relevant occupation ensuring public food supply; ongoing staffing need independent of pandemic conditions.,On-site,https://www.stepstone.de/stellenangebote--Fleischer-Helfer-m-w-d-Leipzig-Fleischer-Einkauf-Leipzig-AG--13207576-inline.html,job-110,HOSPITALITY
Bakery Sales Assistant / Breakfast Specialist,Other/Non-Hospitality (9999),5220,522,52,Shop Salespersons,Niedersachsen,Gerhard Meyer KG,Restaurants & Food Service,2026-06-13,Full-time,,"Bakery sales assistant responsible for selling baked goods, advising customers, preparing bakery products and coffee, and maintaining an appealing store appearance.",Customer-oriented attitude; reliability; friendly manner; skill in preparing baked goods; sales experience preferred; good numeracy; career changers welcome.,Pleasant working atmosphere in a traditional family business; early responsibility after induction; plannable working hours by arrangement; advancement opportunities; 50% employee discount (details truncated).,On-site,https://www.stepstone.de/stellenangebote--Fruehstuecksheld-innen-m-w-d-gesucht-Fachverkaeufer-in-Lebensmittelhandwerk-Baeckerei-Delmenhorst-Gerhard-Meyer-KG--13760558-inline.html,job-111,HOSPITALITY
Kitchen Manager,Restaurant Managers (1412),1412,141,14,Restaurant Managers,Not specified,Wohn- und Pflegezentrum Haus Schwanewede,Restaurants & Food Service,2026-06-11,Full-time,,"Kitchen management role in a care home responsible for staff selection and onboarding, meal preparation meeting DGE senior nutrition guidelines, menu planning incorporating residents' wishes, inventory control, and ensuring compliance with legal and hygiene regulations.","Completed training as cook, kitchen master, domestic economist, domestic economy master, or dietitian; leadership experience in a kitchen, ideally in collective catering for seniors; strong communication and social skills; proficiency in relevant software (details truncated).",Bike leasing via salary conversion; internal and external training opportunities; regular staff events such as summer parties and Christmas celebrations; attractive discounts with well-known providers.,On-site,https://www.stepstone.de/stellenangebote--Kuechenleitung-m-w-d-Schwanewede-Wohn-und-Pflegezentrum-Haus-Schwanewede--13422373-inline.html,job-112,HOSPITALITY
Apprentice Office Management Clerk,Other/Non-Hospitality (9999),4110,411,41,General Office Clerks,Bremen,Armbruster Engineering GmbH & Co. KG,Staffing Agencies & Other,2026-06-07,Full-time,,"Apprenticeship in office management covering commercial processes, procurement, goods receipt, accounting, HR tasks, and participation in marketing activities at an engineering company.","Lower secondary school certificate or Abitur; interest in business and economic contexts; careful and organised working style; good verbal and written expression; initiative, teamwork, and communication skills.",Permanent employment contract; company pension contribution; childcare subsidy; home office options; choice of Edenred card (€40/month) or EGYM Wellpass; weekly on-site physiotherapy sessions.,Remote,https://www.stepstone.de/stellenangebote--Ausbildung-Kaufmann-frau-fuer-Bueromanagement-m-w-d-Bremen-Armbruster-Engineering-GmbH-Co-KG--13804632-inline.html,job-113,HOSPITALITY
Kitchen Manager for Large-Scale Kitchen,Restaurant Managers (1412),1412,141,14,Restaurant Managers,Niedersachsen,Deutsches Rotes Kreuz Kreisverband Delmenhorst e.V.,Catering & Events,2026-06-04,Full-time,,"Kitchen management role at a Red Cross large-scale kitchen covering full operational leadership, team management, menu planning, quality assurance, HACCP compliance, purchasing, and cost control.",Completed training as cook; additional qualification as kitchen master or diet cook preferred; several years of experience in large-scale kitchen or collective catering; organisational strength and sense of responsibility; HACCP compliance; teamwork and independent work style; proficiency in inventory management systems.,Secure employment; appropriate pay according to collective agreement with additional occupational pension; regulated working hours Monday to Friday between 05:00 and 16:00; appreciative team atmosphere; participation in company fitness programme.,On-site,https://www.stepstone.de/stellenangebote--Kuechenleitung-fuer-Grosskueche-m-w-d-Delmenhorst-Deutsches-Rotes-Kreuz-Kreisverband-Delmenhorst-e-V--14109821-inline.html,job-114,HOSPITALITY
Apprentice Cook,Cooks (5120),5120,512,51,Cooks,Bremen,Maritim Hotel Bremen,Hotels & Accommodation,2026-06-02,Full-time,,"Cook apprenticeship starting September 2026 at Maritim Hotel Bremen, covering all kitchen and service areas including food preparation, plating, ordering, goods receipt, menu creation, and sustainable use of resources.",Successfully completed schooling; interest and enjoyment in working with diverse foods and their preparation; manual dexterity and creativity; culinary curiosity; enjoyment of teamwork.,Up to 100% Christmas bonus; e-learning platform for apprentices; guaranteed employment after apprenticeship; employee and Friends & Family hotel rates; Maritim Academy; corporate benefits; staff restaurant.,On-site,https://www.stepstone.de/stellenangebote--Ausbildung-zum-Koch-all-gender-Bremen-Maritim-Hotel-Bremen--14101077-inline.html,job-115,HOSPITALITY
Junior Regional Sales Manager (Field Sales),Other/Non-Hospitality (9999),2433,243,24,Technical and Medical Sales Professionals (excluding ICT),Bremen,alexandersolia GmbH,Staffing Agencies & Other,2026-05-27,Full-time,,"Field sales role covering active management and acquisition of customers in the assigned territory, presenting and selling a product portfolio of commercial kitchen technology, and collaborating closely with inside sales and technical teams.","Completed training as cook and/or experience in technical sales, ideally in commercial kitchen technology; confident and authentic manner; strong communication and negotiation skills; entrepreneurial thinking; high willingness to travel within the sales territory; residence within the territory.",Permanent employment with long-term prospects; attractive performance-based compensation; company car including private use; collegial environment with flat hierarchies; autonomous working with room for initiative; comprehensive induction and motivated team (details truncated).,On-site,https://www.stepstone.de/stellenangebote--Junior-Gebietsverkaufsleiter-m-w-d-im-Aussendienst-Nordrhein-Westfalen-Hamburg-Bremen-Niedersachsen-Schleswig-Holstein-alexandersolia-GmbH--14062626-inline.html,job-116,HOSPITALITY
Product Developer – Frozen Ready Meals,Other/Non-Hospitality (9999),2133,213,21,Environmental and Occupational Health and Hygiene Professionals,Niedersachsen,UNIQFOOD Produktions GmbH,Restaurants & Food Service,2026-06-15,Full-time,,"Product development role in a frozen food manufacturing company responsible for developing and optimising new products and processes, conducting production trials, and collaborating with interdisciplinary teams to achieve productivity targets.","Strong recipe competency and sensory skills, ideally from cook training or fine dining experience; preferably a degree in food technology or comparable qualification; initial knowledge of food processing and basic business understanding.",Crisis-proof position in the food industry; varied role with development prospects and thorough induction; 27 days annual leave; attractive pay; EGYM Wellpass company fitness; Edenred card; comprehensive pension scheme.,On-site,https://www.stepstone.de/stellenangebote--Produktentwickler-m-w-d-Tiefkuehlfertiggerichte-Bremervoerde-UNIQFOOD-Produktions-GmbH--13904159-inline.html,job-117,HOSPITALITY
Appointment Management and Customer Care Specialist,Other/Non-Hospitality (9999),4226,422,42,Receptionists and Information Clerks,Not specified,Datatronic Software AG,Staffing Agencies & Other,2026-06-13,Full-time,,"Role at a software company managing contact and lead processes, conducting campaign telephony and appointment scheduling, and acting as an interface between marketing and sales teams.","Experience in lead and opportunity management, ideally in software or IT (not mandatory); enjoyment of telephone and direct customer contact; structured, independent, and reliable working style; organisational skills; professional and friendly telephone manner; teamwork orientation; very good German language skills.",Attractive pay with challenging and responsible tasks from the start; family-friendly working conditions and good work-life balance; individual onboarding with mentor and clear onboarding concept; development opportunities including annual reviews (details truncated).,On-site,https://www.stepstone.de/stellenangebote--Datatronic-Software-AG-Mitarbeiter-Terminmanagement-Kundenbetreuung-m-w-d-bei-Datatronic-Software-AG-ausgewaehlt-27356-Rotenburg-Wuemme-Datatronic-Software-AG--14149643-inline.html,job-118,HOSPITALITY
Cook,Cooks (5120),5120,512,51,Cooks,Bremen,D.Block und H.Nikezic GbR - Wulsdorfer Buernhus,Restaurants & Food Service,2026-06-13,Part-time,,"Cook position at a small, family-run restaurant in Bremerhaven, working with fresh regional produce, contributing ideas for seasonal dishes, and operating independently within a close-knit kitchen team.",Completed vocational training as a cook or solid cooking experience; passion for honest cuisine; reliability and team spirit; desire to produce quality work in a calm environment; basic knowledge of à la carte kitchen; extended skills in side dish preparation and plating.,Fair salary and genuine appreciation; flexible working hours (full-time or part-time); workplace without unnecessary pressure; creative freedom; supportive family-style team.,On-site,https://www.stepstone.de/stellenangebote--Koch-Koechin-Bremerhaven-D-Block-und-H-Nikezic-GbR-Wulsdorfer-Buernhus--14019825-inline.html,job-119,HOSPITALITY
Cook,Cooks (5120),5120,512,51,Cooks,Sachsen,Bergwirtschaft Wilder Mann,Restaurants & Food Service,2026-06-14,Part-time,,"Cook position at Bergwirtschaft Wilder Mann in Dresden covering à la carte preparation, event and buffet work, goods disposition, quality control, and HACCP compliance.",Completed vocational training as a cook with initial professional experience; independent and responsible work style; enthusiasm for modern and innovative cuisine; quality awareness and attention to detail; creativity for menu and buffet concepts; composure under pressure; good German language skills (B1).,Family-run business; flat hierarchies and short decision-making paths; dynamic working environment; internal career development opportunities; individual training options; work clothing provided and laundered; working time account; staff discount on food and free beverages.,On-site,https://www.stepstone.de/stellenangebote--Koch-m-w-d-Dresden-Bergwirtschaft-Wilder-Mann--9261960-inline.html,job-120,HOSPITALITY
"Cook / Grill Cook (Self-Service Area, Concert Venue)",Cooks (5120),5120,512,51,Cooks,Sachsen,Christine Irmen Ergopraxis Weißer Hirsch,Restaurants & Food Service,2026-06-13,Part-time,,"Preparation of crispy fries, homemade sausages, and seasonal dishes at a self-service food stand on the Weißer Hirsch concert grounds in Dresden. The role also involves maintaining a clean and organized kitchen at all times.",Professional experience as a cook; open and friendly demeanor; reliability and sense of responsibility; flexibility and resilience including on weekends and public holidays.,Varied tasks in a unique outdoor venue setting; motivated team atmosphere; opportunities for professional and personal development; workplace at one of Dresden's most attractive event locations; various year-round benefits (preview truncated).,On-site,https://www.stepstone.de/stellenangebote--KOCH-GRILLER-m-w-d-im-SB-Bereich-auf-dem-Konzertplatz-Weisser-Hirsch-Dresden-Deutschland-Christine-Irmen-Ergopraxis-Weisser-Hirsch--13305365-inline.html,job-121,HOSPITALITY
Cook,Cooks (5120),5120,512,51,Cooks,Not specified,Hotel Amselgrundschlößchen,Hotels & Accommodation,2026-06-09,Full-time,,"Independent preparation of à-la-carte dishes and cold/hot buffet items for lunch, dinner, and events at a traditional family-run hotel. Responsibilities include menu planning, mise en place, goods receiving, and adherence to HACCP hygiene standards.","Completed vocational training as a cook; experience in à-la-carte and buffet preparation advantageous; creativity, teamwork, and resilience; structured and quality-conscious working style; willingness to work weekends and public holidays; good German language skills desirable.",Secure position in a traditional family business; pleasant family-like working atmosphere; attractive salary package including fixed monthly pay and tax-free supplements for Sunday and public holiday work; paid overtime; further benefits truncated.,On-site,https://www.stepstone.de/stellenangebote--Koch-m-w-d-Rathen-Hotel-Amselgrundschloesschen--12775323-inline.html,job-122,HOSPITALITY
Head of E-Commerce,Other/Non-Hospitality (9999),9999,999,99,Other/Non-Hospitality,Sachsen,Academic Work Germany GmbH Hamburg,Staffing Agencies & Other,2026-06-06,Full-time,,"Leadership role overseeing a team of 5–15 employees in product management and back-office functions for an owner-managed e-commerce company, reporting directly to management. Responsibilities include online marketing (SEO, SEA, Google Shopping, email), platform management, and key account support for international brands.","At least 2–3 years of full-time e-commerce, retail, or comparable experience; at least 2–3 years of proven leadership experience; strong assertiveness and conflict management skills; quality management knowledge; familiarity with Amazon logic desirable.","Stable, growing owner-managed e-commerce company founded in 2004 with around 70 employees; role involves exclusive European brand representation and full product management.",Remote,https://www.stepstone.de/stellenangebote--Head-of-E-Commerce-Dresden-Academic-Work-Germany-GmbH-Hamburg--14052609-inline.html,job-123,HOSPITALITY
Cook,Cooks (5120),5120,512,51,Cooks,Not specified,Hains Freizeitzentrum Tharandt/Freital,Restaurants & Food Service,2026-06-04,Full-time,,"Preparation and presentation of high-quality dishes at a leisure and recreation centre, including mise en place, menu and daily specials planning, kitchen process management, and inventory control. The role requires close collaboration with the kitchen team and other departments.",Completed vocational training as a cook or equivalent qualification; professional experience in gastronomy; knowledge of various culinary styles and cooking techniques; creativity; strong initiative and organizational skills; ability to work effectively in a dynamic team environment.,Challenging and varied tasks; pleasant working atmosphere in a motivated team; competitive remuneration and attractive social benefits; continuous training and development opportunities; opportunity to work in a historic and unique setting (preview truncated).,On-site,https://www.stepstone.de/stellenangebote--Koch-Koechin-m-w-d-Freital-Hains-Freizeitzentrum-Tharandt-Freital--14110322-inline.html,job-124,HOSPITALITY
