Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,City,Visa_Sponsorship,Job_ID,Scope_Category
"Financial Accountant (Full-Time, Permanent) at Non-Profit Organization",Other/Non-Logistics (9999),2411,241,24,Accountants,Berlin,Nachbarschaftsheim Schöneberg e.V.,Recruitment Agency,2026-06-26,Full-time,,"Handles complex accounting transactions for a non-profit organization, including grant fund bookkeeping, accounts payable/receivable maintenance, and ongoing account reconciliation in accordance with German commercial law and non-profit regulations.",Completed commercial training as a financial accountant or equivalent qualification; several years of experience in financial accounting; knowledge of non-profit accounting standards; experience with subsidies and grants desirable; proficiency in MS Office especially Excel.,"Meaningful and responsible role in a large non-profit organization; starting salary between €3,125 and €3,612 gross per month (full-time); 30 days of annual leave.",On-site,https://www.stepstone.de/stellenangebote--Finanzbuchhalter-m-w-d-im-gemeinnuetzigen-Traeger-Vollzeit-unbefristet-Berlin-Nachbarschaftsheim-Schoeneberg-e-V--14139264-inline.html,Berlin,,job-11,LOGISTICS
Sales Representative Vans and Transporters,Sales Representatives & Account Managers (3322),3322,332,33,Commercial Sales Representatives,Berlin,MAN Truck & Bus Deutschland GmbH,Direct Employer,2026-06-26,Full-time,,"Represents MAN in the transporter/van segment, building and developing customer relationships, acquiring new customer groups, and managing key accounts and tender processes primarily through field sales activities.",Experience in sales of commercial vehicles or transport solutions; ability to develop sales territories strategically; customer relationship management skills; willingness to attend trade fairs such as IAA Transportation.,Performance-based commission structure with monthly and annual guarantees; company car for business and private use; company pension scheme; capital-forming benefits; 30 days of annual leave.,On-site,https://www.stepstone.de/stellenangebote--Verkaufsbeauftragter-Transporter-m-w-d-am-Standort-Berlin-Tempelhof-Berlin-Tempelhof-MAN-Truck-Bus-Deutschland-GmbH--14141804-inline.html,Berlin,,job-12,LOGISTICS
Heavy Truck Driver Class CE – Shunting Operations on Factory Premises,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,DEKRA Arbeit GmbH,Recruitment Agency,2026-06-26,Full-time,,"Operates vehicles over 7.5 tonnes on a factory site, performing shunting of trailers and swap bodies, inspecting swap bodies for damage, and maintaining and refueling the vehicle fleet.",Class CE driving licence with key number 95; knowledge of swap body shunting advantageous; experience in warehousing and driving larger vehicles desirable; car driving licence; independent and reliable work style.,Permanent employment contract under DGB/GVP collective agreement; above-tariff remuneration plus holiday and Christmas bonus; prospect of permanent hire by the client company.,On-site,https://www.stepstone.de/stellenangebote--Fahrer-Kl-CE-20-Std-m-w-d-Rangiertaetigkeiten-Werksgelaende-Ruedersdorf-bei-Berlin-DEKRA-Arbeit-GmbH--14142539-inline.html,Rüdersdorf bei Berlin,,job-13,LOGISTICS
Heavy Truck Driver – Local Distribution,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,Deutsche Post & DHL,Direct Employer,2026-06-26,Full-time,,"Carries out local freight transport, ensuring timely collection and delivery of goods and proper load securing within the truck.","Valid CE driving licence with key number 95; ideally prior experience as a professional driver; experience driving with trailers; willingness to work weekends; reliability, commitment, and physical fitness.",Hourly rate from €18.51 including 50% Christmas bonus; 25% night shift supplement tax-free from 20:00; additional 50% Christmas bonus in November; up to €332 holiday pay; 27 days of annual leave; secure employment.,On-site,https://www.stepstone.de/stellenangebote--Lkw-Fahrer-Nahverkehr-Schoenefeld-bei-Berlin-m-w-d-Schoenefeld-Deutsche-Post-DHL--13924445-inline.html,Schönefeld,,job-14,LOGISTICS
Trainee Commercial Driver (Apprenticeship),Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,SL Schwanteland GmbH,Direct Employer,2026-06-26,Full-time,,"Three-year apprenticeship covering all aspects of professional driving including vehicle maintenance, transport preparation and execution, loading and unloading, legal regulations, workshop tasks, and administrative familiarization.","Minimum secondary school certificate (Hauptschulabschluss); reliable, goal-oriented, and motivated; interest in technology and vehicles; driving licences B, BE, CE; forklift licence.",Three-year apprenticeship with takeover guarantee upon successful completion; acquisition of car and HGV driving licences; traditional company with flat hierarchies and a good working environment.,On-site,https://www.stepstone.de/stellenangebote--Ausbildung-zum-Berufskraftfahrer-m-w-d-am-Standort-Oberkraemer-Oberkraemer-Deutschland-SL-Schwanteland-GmbH--13887667-inline.html,Oberkrämer,,job-15,LOGISTICS
Heavy Truck Driver – Long-Distance Transport,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,SL Schwanteland GmbH,Direct Employer,2026-06-26,Full-time,,"Conducts national and international freight transport for industrial, trade, and medical customers using motor vehicles of 10–26 tonnes and articulated trucks up to 40 tonnes, including pre-departure checks, vehicle care, and mobile data entry.","Motivation and reliability; experience with articulated trucks (curtain-sider, refrigerated, and flatbed); knowledge of load securing; compliance with statutory driving and rest times; German language skills.",Permanent employment contract; pleasant working atmosphere; hourly pay plus statutory allowances; work clothing and dedicated vehicle provided; national and international assignments.,On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-Fernverkehr-am-Standort-Oberkraemer-Oberkraemer-Deutschland-SL-Schwanteland-GmbH--13880750-inline.html,Oberkrämer,,job-16,LOGISTICS
Heavy Truck Driver – Daily Rounds (Hazardous Goods),Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,SL Schwanteland GmbH,Direct Employer,2026-06-26,Full-time,,"Transports technical and medical gases as hazardous goods on local daily routes, independently loading and unloading with a ride-on forklift, conducting pre-departure checks, and operating mobile data capture systems on vehicles of 10–40 tonnes.",Class C/CE driving licence and driver card; friendly and professional manner for customer contact; teamwork with dispatchers; ADR certificate and forklift licence desirable.,"Full work clothing and personal protective equipment provided; free weekends; permanent employment contract; attractive pay with additional benefits; cost coverage for licence, driver card, and training; four-week induction programme.",On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-Tagestouren-am-Standort-Oberkraemer-Oberkraemer-Deutschland-SL-Schwanteland-GmbH--13880783-inline.html,Oberkrämer,,job-17,LOGISTICS
Heavy Truck Driver – Circular Route Late Shift,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,SL Schwanteland GmbH,Direct Employer,2026-06-26,Full-time,,"Operates on a fixed circular route (Oberkrämer–Böhlen) transporting technical gases on late shift starting around 15:00, including independent loading and unloading with a forklift, pre-departure checks, and mobile data entry on vehicles of 10–40 tonnes.",Class C/CE driving licence and driver card; friendly and professional manner; teamwork with dispatchers; ADR certificate and forklift licence desirable.,"Full work clothing and personal protective equipment provided; free weekends; permanent employment contract; attractive pay with additional benefits; cost coverage for licence, driver card, and training; four-week induction programme.",On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-Rundlauftour-in-Spaetschicht-am-Standort-Oberkraemer-Oberkraemer-Deutschland-SL-Schwanteland-GmbH--13880805-inline.html,Oberkrämer,,job-18,LOGISTICS
Heavy Truck Driver – Skip Loader and Roll-Off Container,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,B&B Recycling GmbH,Direct Employer,2026-06-26,Full-time,,"Operates a heavy truck fitted with skip loader and roll-off container systems, completing assigned routes and orders while maintaining and properly operating the vehicle.","Experience with skip loaders and roll-off containers; Class CE driving licence; structured and orderly work approach; reliability, team orientation, and flexibility.",Secure position with regular working hours Monday to Friday; attractive performance-based pay; additional bonus payments; short communication channels; work clothing and tools provided.,On-site,https://www.stepstone.de/stellenangebote--LKW-Fahrer-w-m-d-Schoenefeld-bei-Berlin-BB-Recycling-GmbH--13885943-inline.html,Schönefeld bei Berlin,,job-19,LOGISTICS
Driver and Warehouse Logistics Assistant – Van up to 3.5 Tonnes,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,Uwe Steingross Feinmechanik GmbH & Co. KG,Direct Employer,2026-06-26,Full-time,,Van driver and goods logistics assistant role involving local deliveries and warehouse support using a vehicle up to 3.5 tonnes; note that the job preview description appears to contain erroneous CNC machinist content unrelated to the advertised title.,"Completed schooling; attention to detail, cleanliness, teamwork, and reliability; motivation and engagement; technical interest.",13th month salary; fully equipped fitness studio; secure position; advancement opportunities; varied work environment.,On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-Assistent-Warenlogistik-Transporter-Fahrer-fuer-3-5-Tonnen-M-W-D-Vollzeit-Berlin-Berlin-Uwe-Steingross-Feinmechanik-GmbH-Co-KG--13887719-inline.html,Berlin,,job-20,LOGISTICS
Crane Operator (Overhead Crane),Crane & Hoist Operators (8343),8343,834,83,"Crane, Hoist and Related Plant Operators",Berlin,BLG Logistics Group AG & Co. KG,Recruitment Agency,2026-06-26,Full-time,,"Operates an overhead/gantry crane (up to 60 tonnes, tandem mode up to 80 tonnes) to safely and precisely lift and move technical structural components. Also responsible for rigging/slinging loads, ensuring transport safety, and supporting general warehouse activities when needed.",Crane operator certification or valid crane operator licence; experience with various slinging/rigging techniques; forklift licence and elevated work platform certification desirable; good German skills (minimum C1).,"Permanent employment contract with collectively agreed pay; regular working hours and plannable shifts; e-bike leasing and company fitness programme; employee discounts (travel, tech, fashion, home & garden); public transport subsidy.",On-site,https://www.stepstone.de/stellenangebote--Kranfuehrer-Kranfahrer-m-w-d-fuer-Deckenkran-Berlin-BLG-Logistics-Group-AG-Co-KG--14201078-inline.html,Berlin,,job-21,LOGISTICS
Customs Broker,Clearing & Forwarding Agents (3331),3331,333,33,Clearing and Forwarding Agents,Berlin,NOVA Post DE GmbH,Direct Employer,2026-06-26,Full-time,,"Responsible for building and launching an in-house customs brokerage function in Germany from scratch, managing import/export/transit customs clearance for B2C/C2C e-commerce parcel flows. Ensures full regulatory compliance, accurate tariff classification, and liaison with German customs authorities.","Valid German customs broker certification (mandatory); 3+ years experience as customs declarant/broker; strong expertise in e-commerce/parcel logistics (B2C/C2C); deep knowledge of EU import, export, and transit procedures; fluent German (mandatory).","€5,000–€5,300 gross/month (~€64,000 gross/year); opportunity to build customs brokerage function from scratch in a fast-growing international company; high ownership and autonomy; direct impact on EU customs operations; modern systems.",On-site,https://www.stepstone.de/stellenangebote--Customs-Broker-Build-Launch-Customs-Operations-in-Germany-Berlin-NOVA-Post-DE-GmbH--13950884-inline.html,Berlin,,job-22,LOGISTICS
Truck Driver (Regional Short-Haul),Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Vierlande Food-Service GmbH,Recruitment Agency,2026-06-26,Full-time,,"Delivers goods punctually and safely to customers on fixed regional day routes according to a set tour plan. Responsible for loading pre-picked goods, processing delivery orders, returning transport aids, documenting transport papers, and performing daily vehicle checks and maintenance.",Class C/CE driving licence and valid driver card; physical fitness for demanding tasks; friendly and service-oriented customer manner; proficient German (written and spoken).,Holiday and Christmas bonus; travel cost allowance; capital-forming benefits subsidy; company pension contribution; occupational disability insurance subsidy; health bonus (e.g. Hansefit/Wellpass); company bike leasing; individual onboarding.,On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-im-regionalen-Nahverkehr-Berlin-Vierlande-Food-Service-GmbH--13951232-inline.html,Berlin,,job-23,LOGISTICS
Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Herold Ingenieurges. für Garten- und Landschaftsbau mbH,Direct Employer,2026-06-26,Full-time,,"Transports materials such as soil, plants, stones, and landscaping tools to construction sites, handling loading and unloading in compliance with all safety regulations. Works closely with project management on route and schedule planning and ensures adherence to all legal requirements for load securing and transport.","Valid class CE driving licence with professional driver qualification (Code 95); experience driving trucks, ideally in landscaping or similar sectors; experience with crane operations; basic vehicle and machinery maintenance knowledge; physical resilience and reliability.",Permanent employment contract; attractive remuneration and social benefits; dynamic and collegial work environment; regular training and further education; modern machinery and quality work clothing; varied tasks.,On-site,https://www.stepstone.de/stellenangebote--LKW-Fahrer-in-Berlin-Herold-Ingenieurges-fuer-Garten-und-Landschaftsbau-mbH--12294936-inline.html,Berlin,,job-24,LOGISTICS
Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,G. V. Gußasphaltestrich- und Abdichtungs GmbH,Direct Employer,2026-06-25,Full-time,,"Drives a truck with a mastic asphalt mixer drum to and from the mixing plant and construction sites, assisting with mastic asphalt paving work on site and unloading residual material at the end of the shift.",Class C driving licence (mandatory); professional experience in construction site operations preferred; professional driver (BKrFQG) qualification not required; knowledge of loading/unloading and construction site traffic.,Not specified.,On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-mit-LKW-Fuehrerschein-gesucht-m-w-d-Berlin-G-V-Gussasphaltestrich-und-Abdichtungs-GmbH--14197709-inline.html,Berlin,,job-25,LOGISTICS
Truck Driver (Short-Haul),Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,mago Kohn und Kempkes GmbH & Co. KG Wurst- und Fleischwaren,Recruitment Agency,2026-06-25,Full-time,,Delivers goods to various customers in the region on short-haul routes.,Professional driver qualification under the BKrFQG (mandatory); valid vehicle driving licence.,Crisis-proof job with the regional market leader; regular working hours Monday–Friday with electronic time recording; modern vehicle fleet; motivated team with flat hierarchies and a family-like atmosphere; high job security.,On-site,https://www.stepstone.de/stellenangebote--LKW-Fahrer-m-w-d-im-Nahverkehr-Berlin-mago-Kohn-und-Kempkes-GmbH-Co-KG-Wurst-und-Fleischwaren--14197451-inline.html,Berlin,,job-26,LOGISTICS
Trainee Truck Driver (Apprenticeship),Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Brandenburg,Komm Logistik GmbH,Direct Employer,2026-06-25,Full-time,,"Apprenticeship training covering domestic and international truck transport operations using a modern fleet, including vehicle loading/unloading with load securing, monitoring vehicle instrumentation, vehicle maintenance and care, and administrative transport processing.","Minimum Hauptschule school-leaving certificate; good written and spoken German; motivation and willingness to learn; initiative, flexibility, and teamwork skills; good physical condition.",Comprehensive vocational training for national and international transport; performance-based pay; voluntary social benefits; engaging work environment in an experienced team; modern vehicle fleet (Scania).,On-site,https://www.stepstone.de/stellenangebote--Auszubildende-zum-Berufskraftfahrer-m-w-d-Grossbeeren-Komm-Logistik-GmbH--14196607-inline.html,Großbeeren,,job-27,LOGISTICS
Truck Driver / Delivery Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Schmidt-Elsner GmbH,Direct Employer,2026-06-25,Full-time,,"Drives trucks up to 18 tonnes with trailer to transport, load, and deliver construction machinery and site equipment to customers, conducting handovers and briefings on delivery. Also performs minor repairs and maintenance work on construction machinery.",Completed vocational training as a truck driver or equivalent qualification; strong technical aptitude and initial experience with construction machinery; class CE driving licence (minimum); loader crane and forklift licence desirable; valid driver card and BKrFQG (Code 95) qualification.,"Permanent employment contract; flexible scheduling and leave arrangements within the team; attractive salary package plus bonuses; company pension and tax-free employer benefits; friendly, family-like working culture; group employee discounts.",On-site,https://www.stepstone.de/stellenangebote--LKW-Kraftfahrer-Auslieferungsfahrer-m-w-d-Berlin-Schmidt-Elsner-GmbH--13290132-inline.html,Berlin,,job-28,LOGISTICS
Truck Driver with Crane (Long-Haul),Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,REINERT Logistic GmbH & Co. KG,Direct Employer,2026-06-25,Full-time,,"Operates a truck with a hook-lift/demountable crane on national long-haul routes, transporting goods for customers in the building materials and timber industries. Independently handles loading and unloading and is responsible for load securing.","Class CE driving licence with Code 95 and valid driver card; valid loader crane licence (mandatory); experience as a professional truck driver, preferably with hook-lift/demountable crane trucks; communicative German language skills; friendly, independent, and reliable work style.","Secure, modern, and crisis-proof job at an established mid-sized logistics company; permanent employment contract; comprehensive onboarding by REINERT pilot coaches; attractive remuneration and additional financial benefits; company subsidy (details truncated).",On-site,https://www.stepstone.de/stellenangebote--LKW-Fahrer-mit-Kran-m-w-d-Velten-REINERT-Logistic-GmbH-Co-KG--13162023-inline.html,Velten,,job-29,LOGISTICS
Truck Driver Class CE (Tipper/Bulk Transport),Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,Andreas Prien,Direct Employer,2026-06-25,Full-time,,Responsible for transporting bulk materials (tipper/dump truck driver).,Class CE driving licence; valid driver card; experience transporting bulk goods; basic knowledge of transport vehicle operational safety and haulage/delivery traffic.,Modern vehicle fleet; punctual and reliable payment; dedicated fixed vehicle; performance-based remuneration including working-hours account; modern planning technology and route guidance; permanent employment contract.,On-site,https://www.stepstone.de/stellenangebote--LKW-Fahrer-m-w-d-Kl-CE-gesucht-Kleinmachnow-Andreas-Prien--13416603-inline.html,Kleinmachnow,,job-30,LOGISTICS
Professional Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,Weidler Logistik GmbH,Direct Employer,2026-06-25,Full-time,,"Handles regional and long-distance transport using trucks up to 40t gross vehicle weight (articulated or trailer combinations). Responsible for loading/unloading, cargo securing, and freight documentation.",Completed vocational training as a professional truck driver or equivalent qualification; experience in regional and long-distance haulage; BKF qualification (key number 95); driver card; Class CE licence; ADR dangerous goods certificate (optional); good German language skills; willingness to work shifts.,"Secure job in a growing company; motivated international team; employee discounts with over 1,500 retailers including Apple, Adidas, and home24.",On-site,https://www.stepstone.de/stellenangebote--Berufskraftfahrer-in-Grossbeeren-Weidler-Logistik-GmbH--13950054-inline.html,Großbeeren,,job-31,LOGISTICS
Truck Driver for Construction Site Deliveries,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Engelmann Brunnenbau GmbH,Direct Employer,2026-06-25,Full-time,,Transports materials and equipment to construction sites within Berlin and the surrounding area. Loading and unloading is performed using a wheel loader.,"Class CE licence (up to 40t with trailer); knowledge of loading/unloading, freight transport, vehicle operation, wheel loader, transport safety checks, and road traffic law.",No overnight stays away from home required; Monday to Friday working hours.,On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-Baustellenbelieferungen-Berlin-Engelmann-Brunnenbau-GmbH--13553885-inline.html,Berlin,,job-32,LOGISTICS
Truck Driver for Landscaping and Civil Construction Company,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,"Kittel und Kruska GmbH & Co. Garten-, Landschafts- und Sportplatzpflege KG",Direct Employer,2026-06-25,Full-time,,"Transports materials, machinery, and equipment to and from landscaping and civil construction sites, assists with loading/unloading, performs daily vehicle checks, and supports the team with on-site tasks. Responsible for cargo securing and adherence to traffic regulations.",Class C driving licence; some professional experience preferred; loader crane certificate desirable but not mandatory; willingness to provide on-site support.,"Secure employment with performance-based, collectively oriented pay.",On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-fuer-GaLa-Bau-Unternehmen-mit-FS-Kl-C-und-Anpackmentalitaet-gesucht-Berlin-Kittel-und-Kruska-GmbH-Co-Garten-Landschafts-und-Sportplatzpflege-KG--14132743-inline.html,Berlin,,job-33,LOGISTICS
