Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,Scope_Category,City,Date_Scraped,German_Level,Licensing_Recognition,Visa_Sponsorship,Relocation_Support,Qualification_Requirements,Years_Experience,Healthcare_Setting,Company_URL,Job_ID,Raw_ID
Registered Nurse,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Schiller Pflege- und Gesundheitsdienste GmbH,Long-term Care & Social Services,2026-06-17,Part-time,,Planning and implementing professional nursing processes and doctor-ordered treatments for outpatient clients.,Completed training in geriatric or healthcare nursing; beginners welcome; digital documentation openness.,"Above-average salary, company pension, monthly advance roster, and corporate discounts.",On-site,https://www.stepstone.de/stellenangebote--Examinierte-r-Gesundheits-und-Krankenpfleger-schwester-als-Pflegefachkraft-m-w-d-Berlin-Schiller-Pflege-und-Gesundheitsdienste-GmbH--12548202-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"Angehörigen sowie behandelnden Ärztinnen und Ärzten Ihr Profil eine erfolgreich abgeschlossene Ausbildung zum Altenpfleger, Gesundheits- und Krankenpfleger, zum (Kinder-) Krankenpfleger | Führerscheins der Klasse B Wir bieten eine überdurchschnittliche Vergütung nach Qualifikation, die Gehaltszahlung am letzten Werktag im Monat, auf Wunsch eine betriebliche A | n, deren Angehörigen sowie behandelnden Ärztinnen und Ärzten • eine erfolgreich abgeschlossene Ausbildung zum Altenpfleger, Gesundheits- und Krankenpfleger, zum (Kinder-) Krankenpfleger",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/schiller-pflege-und-gesundheitsdienste-gmbh-396848/jobs,job-11,10
Registered Nurse or Care Assistant,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,AVICENNA häusliche Krankenpflege GmbH,Long-term Care & Social Services,2026-06-17,Part-time,,Providing basic and treatment nursing care as well as household support in an outpatient setting.,Nursing qualification (geriatric or healthcare nurse) and a valid driving license.,"Individual onboarding, support for professional development, and further training opportunities.",On-site,https://www.stepstone.de/stellenangebote--Ab-sofort-suche-Pflegefachkraefte-Pflegehilfskraefte-m-w-d-Pflegeassistent-in-Altenpflege-Berlin-AVICENNA-haeusliche-Krankenpflege-GmbH--13217147-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"zu den Angehörigen und Betreuer/innen unserer Kund/innen Das bringen Sie mit - Qualifikation als Pflegekraft (z | staatlich anerkannte/r Altenpfleger/in oder Gesundheits- und Krankenpfleger/in) oder ein gleichwert | ig anerkannter Abschluss - Führerschein - Teamfähigkeit, Verantwortungsbewusstsein und ein großes Herz f",,Residential & Long-Term Care,,job-12,11
Dental Assistant,Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Dr. med. dent. Pourya Farrokh,Medical & Dental Practices,2026-06-17,Part-time,,"Chairside assistance, instrument preparation, and patient consultation in a modern dental practice.",Training as a Dental Assistant (ZFA) or a dental degree without a German license; good German skills.,"Regulated working hours, fair compensation, and a supportive, appreciative team.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Fachangestellte-m-w-d-Berlin-Dr-med-dent-Pourya-Farrokh--13784295-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,minvorbereitung - Optional: Prophylaxe- oder organisatorische Aufgaben (je nach Qualifikation) Dein Profil - Abgeschlossene Ausbildung als Zahnmedizinische Fachangestellte ( | minvorbereitung - Optional: Prophylaxe- oder organisatorische Aufgaben (je nach Qualifikation) - Abgeschlossene Ausbildung als Zahnmedizinische Fachangestellte (m/w/d) oder,,Medical & Dental Practices,,job-13,12
Outpatient Registered Nurse,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Pflegedienst Berlin City MT GmbH,Outpatient & Ambulatory Care,2026-06-17,Part-time,,"Independent execution of medical treatment care, including medication management and wound care, in mobile nursing.",State exam in nursing; driving license (class B); reliability and team spirit.,"Hourly wage of 24.00 EUR, company vehicle or transport allowance, and permanent contract.",On-site,https://www.stepstone.de/stellenangebote--Examinierte-Pflegefachkraefte-m-w-d-ambulant-Treptow-Koepenick-Berlin-Pflegedienst-Berlin-City-MT-GmbH--13202020-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"Zur Verstärkung unseres Teams suchen wir ab sofort eine examinierte Pflegefachkraft (m/w/d)– in Vollzeit, Teilzeit oder auf Minijob-Basis",,Residential & Long-Term Care,,job-14,13
Operating Theater Nurse,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Brandenburg,Oberlinhaus,Hospitals & Acute Care,2026-06-17,Full-time,,"Pre-operative preparation, surgical documentation, and quality assurance in an acute clinical setting.",Professional nursing qualification; structured work style; alignment with Diaconal values.,"Tariff-based salary (AVR DWBO) with systematic increases, pension, and family-friendly benefits.",On-site,https://www.stepstone.de/stellenangebote--OP-Pflegekraft-gn-in-der-Oberlinklinik-Potsdam-Deutschland-Oberlinhaus--13322152-inline.html,HEALTHCARE,Potsdam,2026-06-19,,,,,tung Dokumentation Qualitätssicherung Teamarbeit: Ihr Profil Das ist Ihr Profil Qualifikation: Arbeitsweise: Fortbildung: Werteorientierung Unser Angebot an Sie Vergütung : | • Teamarbeit: • Qualifikation:,,Hospitals & Acute Care,,job-15,14
Apprentice Dental Assistant,Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Brandenburg,Kieferorthopädie Ludwigsfelde MVZ GmbH,Medical & Dental Practices,2026-06-17,Full-time,,"Learning dental assistance, patient care, sterilization of instruments, and administrative documentation.",Interest in dental healthcare training; friendly demeanor and willingness to learn.,"Flexible working hours, supportive learning atmosphere, and exposure to modern digital technology.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Fachangestellte-ZFA-Azubi-m-w-d-Ludwigsfelde-Kieferorthopaedie-Ludwigsfelde-MVZ-GmbH--11569374-inline.html,HEALTHCARE,Ludwigsfelde,2026-06-19,,,,,Qualifikation Interesse an einer Ausbildung zur Zahnmedizinischen Fachangestellten (m/w/d) Fr,,Medical & Dental Practices,,job-16,15
Registered Nurse,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Pacura med GmbH,Staffing Agencies & Other,2026-06-17,Part-time,,Holistic nursing care and coordination for patients across various healthcare facilities via a staffing agency.,"Completed vocational training in nursing (general, geriatric, or healthcare nursing).","Grundgehalt up to 4,550 EUR, 35-hour full-time week, and bonuses for night/holiday shifts.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-Gesundheits-und-Krankenpfleger-Altenpfleger-m-w-d-bis-zu-4-550-Zulagen-Berlin-Kassel-Rostock-Potsdam-Schwerin-Cottbus-Greifswald-Stralsund-Pacura-med-GmbH--14160932-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,Über uns Du hast eine abgeschlossene Ausbildung in der Pflege z | Das bringst Du mit Du hast eine abgeschlossene Ausbildung in der Pflege (z | • Du hast eine abgeschlossene Ausbildung in der Pflege (z,,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/pacura-med-gmbh-206403/jobs,job-17,16
Nursing Service Manager,Health Services Managers (1342),1342,134,13,Health Service Managers,Berlin,B + L GmbH,Outpatient & Ambulatory Care,2026-06-17,Full-time,,"Directing care and support processes, training staff, and maintaining quality standards in home care.",3-year nursing degree and official PDL (Nursing Service Management) qualification.,"Emphasis on work-life balance, no night shifts, attractive salary, and regular training.",On-site,https://www.stepstone.de/stellenangebote--Pflegedienstleitung-bei-Home-Instead-Berlin-Reinickendorf-Berlin-Deutschland-B-L-GmbH--12744580-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,Qualifikationen: Abgeschlossene dreijährige Berufsausbildung in der Pflege | Die notwendige Qualifikation zur Ausübung der Tätigkeit als Pflegedienstleitung | • Abgeschlossene dreijährige Berufsausbildung in der Pflege,,Other Healthcare Providers,,job-18,17
Medical Assistant,Medical Assistants (3256),3256,325,32,Medical Assistants,Berlin,Alexianer St. Hedwig Kliniken Berlin GmbH,Rehabilitation & Mental Health,2026-06-16,Full-time,,"Organizing outpatient clinic appointments, patient intake, and basic medical tasks like vital sign monitoring in a psychiatric setting.",Completed training as a Medical Assistant (MFA); high social competence and empathy.,"Unbefristete full-time position, flat hierarchies, and a structured onboarding process.",On-site,https://www.stepstone.de/stellenangebote--Medizinischer-Fachangestellter-mwd-Berlin-Alexianer-St-Hedwig-Kliniken-Berlin-GmbH--14093599-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"ion Mitwirkung an der Verbesserung von Arbeitsabläufen und Konzepten Ihr Profil Abgeschlossene Ausbildung als Medizinischer Fachangestellter oder Arzthelfer (mwd) Verantwortungsvolle, s | • Mitwirkung an der Verbesserung von Arbeitsabläufen und Konzepten • Abgeschlossene Ausbildung als Medizinischer Fachangestellter oder Arzthelfer (mwd)",,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/alexianer-st-hedwig-kliniken-berlin-gmbh-119503/jobs,job-19,18
Nursing Consultant,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Brandenburg,meinestadt.de,Outpatient & Ambulatory Care,2026-06-16,Full-time,,"Providing specialized advice to care-dependent people and relatives, building professional networks, and training assistants.",Completed 3-year nursing training; empathetic communication and self-organized work style.,"Family-friendly hours without weekend or shift work, plus a company car.",On-site,https://www.stepstone.de/stellenangebote--Pflegeberater-m-w-d-Falkensee-meinestadt-de--14093333-inline.html,HEALTHCARE,Falkensee,2026-06-19,,,,,Ihr Profil Ihr Profil Abgeschlossene dreijährige Berufsausbildung in der Pflege | • Abgeschlossene dreijährige Berufsausbildung in der Pflege,,Other Healthcare Providers,https://www.stepstone.de/cmp/de/meinestadtde-218724/jobs,job-20,19
Nursing Professional,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Eldebna ambulanter Pflegedienst GmbH,Outpatient & Ambulatory Care,2026-06-16,Part-time,,"Professional nursing role in ambulatory care, responsible for home visits and medical treatment according to doctor's orders.","Successfully completed nursing training, at least two years of experience in outpatient care, and proficiency in digital documentation.","Annual salary between 50,000 and 54,000 Euro plus performance bonuses, digital documentation tools, and a multicultural team.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-m-w-d-Berlin-Eldebna-ambulanter-Pflegedienst-GmbH--13341561-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Medical & Dental Practices,https://www.stepstone.de/cmp/de/eldebna-ambulanter-pflegedienst-gmbh-364552/jobs,job-21,20
Deputy Ward Manager Psychiatry,Health Services Managers (1342),1342,134,13,Health Service Managers,Berlin,Vivantes Auguste-Viktoria-Klinikum,Rehabilitation & Mental Health,2026-06-16,Part-time,,"Support the management of a psychiatric ward, ensuring smooth operations, staff scheduling, and high-quality nursing processes.",State recognition as a Registered Nurse with several years of experience in psychiatry and ideally initial management experience.,"Compensation according to TVöD, company pension plan, and digital continuing education opportunities.",On-site,https://www.stepstone.de/stellenangebote--Stellv-Stationsleitung-Pflege-Psychiatrie-Psychotherapie-und-Psychosomatik-Berlin-Schoeneberg-Vivantes-Auguste-Viktoria-Klinikum--14157232-inline.html,AMBIGUOUS,Berlin,2026-06-19,,Anerkennung,,,,,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/vivantes-auguste-viktoria-klinikum-98600/jobs,job-22,21
Nursing Associate Professional,Nursing Associate Professionals (3221),3221,322,32,Nursing Associate Professionals,Berlin,DRK-Kliniken Berlin Pflege & Wohnen Mariendorf,Long-term Care & Social Services,2026-06-16,Full-time,,"Assisting with basic nursing care, including personal hygiene and feeding, as well as housekeeping tasks for patients.",Completed 1.5-year nursing assistant training or 1-year geriatric nursing assistant training with hospital experience.,Flexible working hours in full or part-time and individual choice of ward assignments.,On-site,https://www.stepstone.de/stellenangebote--Dein-neuer-Job-als-PflegefachassistentPflegefachassistentin-im-Kunstkrankenhaus-Berlin-DRK-Kliniken-Berlin-Pflege-Wohnen-Mariendorf--13906861-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Residential & Long-Term Care,,job-23,22
Educator for Day Group,Other/Non-Healthcare (9999),9999,999,99,Other/Non-Healthcare,Berlin,Kinderhaus Berlin - Mark Brandenburg e.V.,Staffing Agencies & Other,2026-06-16,Part-time,,Planning and implementing group processes and individual activities for preschool children in a daycare setting.,"Completed training as an educator, social pedagogue, or social worker with experience in children aged 0-6.",Not specified,On-site,https://www.stepstone.de/stellenangebote--Erzieher-w-m-d-Tagesgruppe-TAN-go-Berlin-Kinderhaus-Berlin-Mark-Brandenburg-e-V--14157465-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"individuellen Perspektive Teilnahme an Höhepunkten des Heimverbundes Ihr Profil abgeschlossene Ausbildung als Erzieher*in, Sozialpädagog*in, Sozialarbeiter*in oder Kindheitspädagog*in B | • Teilnahme an Höhepunkten des Heimverbundes • abgeschlossene Ausbildung als Erzieher*in, Sozialpädagog*in, Sozialarbeiter*in oder Kindheitspädagog*in",,Other Healthcare Providers,,job-24,23
Dental Practice Manager,Health Services Managers (1342),1342,134,13,Health Service Managers,Sachsen-Anhalt,Acura Zahnärzte GmbH,Medical Services & Industry,2026-06-16,Full-time,,"Leading dental practice operations including personnel management, project leadership, and administrative efficiency.","Several years of practice management experience and a relevant dental vocational qualification (ZFA, ZMV, or equivalent).","Permanent contract, attractive salary, individual training, company iPhone, and bike leasing.",On-site,https://www.stepstone.de/stellenangebote--Zahnaerztliche-Praxismanagerin-m-w-d-Region-Ost-Magdeburg-Berlin-Chemnitz-Acura-Zahnaerzte-GmbH--14093454-inline.html,HEALTHCARE,Magdeburg,2026-06-19,,,,,", oder vergleichbare Qualifikation Gute Kenntnisse in den gängigen MS Office Programmen (Excel, Word, PowerPoint) | , oder vergleichbare Qualifikation",,Medical & Dental Practices,https://www.stepstone.de/cmp/de/acura-zahn%c3%a4rzte-gmbh-221014/jobs,job-25,24
Educator for Residential Group,Other/Non-Healthcare (9999),9999,999,99,Other/Non-Healthcare,Berlin,Kinderhaus Berlin - Mark Brandenburg e.V.,Staffing Agencies & Other,2026-06-16,Part-time,,Organizing daily life and providing pedagogical support for children and adolescents in a residential project.,Completed vocational training as an educator or social pedagogue/worker.,Not specified,On-site,"https://www.stepstone.de/stellenangebote--Erzieher-w-m-d-fuer-Regelgruppe-""Mix""-in-Berlin-Hellersdorf-Berlin-Kinderhaus-Berlin-Mark-Brandenburg-e-V--14157857-inline.html",HEALTHCARE,Berlin,2026-06-19,,,,,"Spaß und Freude im Zusammenleben mit unseren Kindern und Jugenlichen Ihr Profil abgeschlossene Ausbildung als Erzieher*in, Sozialpädagog*in, Sozialarbeiter*in oder Kindheitspädagog*in a | lternativ vergleichbare abgeschlossene Berufsausbildung Fähigkeit zur partnerschaftlichen Zusammenarbeit im Team Lesen Sie den , wenn S | ich viel Spaß und Freude im Zusammenleben mit unseren Kindern und Jugenlichen • abgeschlossene Ausbildung als Erzieher*in, Sozialpädagog*in, Sozialarbeiter*in oder Kindheitspädagog*in",,Other Healthcare Providers,,job-26,25
Senior Dental Assistant,Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Dental21 Velbert,Outpatient & Ambulatory Care,2026-06-16,Full-time,,Assisting in dental treatments while providing technical guidance and coordination for the assistant team.,Completed Dental Assistant (ZFA) training with professional experience in assistance and initial team leadership skills.,"Flexible hours, transparent compensation, work-life balance, and professional development.",On-site,https://www.stepstone.de/stellenangebote--Senior-Zahnmedizinische-Fachangestellte-ZFA-m-w-d-Berlin-Dental21-Velbert--14092969-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,"Du hast eine abgeschlossene Ausbildung zur ZFA und suchst die nächste Stufe in deiner beruflichen Entwicklung? A Senio | Qualifikation: Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA Berufserfahrung in der Assistenz er | prechpartner/ im Team für Fragen rund um Abläufe, Prozesse und Zusammenarbeit • Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA",,Medical & Dental Practices,,job-27,26
